**********************************************************************
**********************************************************************

 Photoionization cross-sections for FeIV
 Smoothe Opacity project (3000km/s) and crude hydrogenic when 
 unavailable.

**********************************************************************
**********************************************************************

04-Nov-2000 00:04:27                   !Date
383                                    !Number of energy levels
1                                      !Number of photoionization routes
4.0                                    !Screened nuclear charge
3d4_5De                                !Final state in ion
0.0                                    !Excitation energy of final state
25.0                                   !Statistical weight of ion
Megabarns                              !Cross-section unit
False                                  !Split J levels
14741                                  !Total number of data pairs


3d4(5D)4s_6De                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
3d4(5D)4p_6Fo                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.000D+00 1.870D-01
 1.155D+00 1.376D-01
 1.289D+00 1.129D-01
 1.431D+00 9.721D-02
 1.712D+00 7.976D-02
 2.142D+00 6.600D-02
 3.035D+00 5.096D-02
 4.543D+00 3.528D-02
 5.856D+00 2.627D-02
 8.053D+00 1.795D-02
 8.764D+00 1.409D-02
 9.397D+00 1.143D-02
 1.003D+01 9.417D-03
 1.064D+01 7.871D-03
 1.124D+01 6.679D-03
 1.236D+01 5.029D-03
 1.338D+01 3.960D-03
 1.421D+01 3.310D-03
 1.569D+01 2.456D-03
 1.666D+01 2.053D-03
 1.725D+01 1.882D-03

3d4(5D)4p_6Po                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.000D+00 2.634D-01
 1.155D+00 1.815D-01
 1.283D+00 1.405D-01
 1.424D+00 1.123D-01
 1.573D+00 9.340D-02
 1.721D+00 8.105D-02
 1.998D+00 6.661D-02
 2.426D+00 5.467D-02
 3.143D+00 4.412D-02
 4.543D+00 3.168D-02
 6.003D+00 2.351D-02
 8.053D+00 1.674D-02
 8.721D+00 1.335D-02
 9.258D+00 1.116D-02
 9.779D+00 9.473D-03
 1.075D+01 7.132D-03
 1.164D+01 5.616D-03
 1.236D+01 4.695D-03
 1.365D+01 3.482D-03
 1.449D+01 2.911D-03
 1.500D+01 2.662D-03

3d4(5D)4p_4Po                          !Configuration name
20                                     !Type of cross-section
29                                     !Number of cross-section points
 1.000D+00 2.835D-01
 1.015D+00 2.779D-01
 1.025D+00 2.802D-01
 1.062D+00 2.474D-01
 1.078D+00 2.436D-01
 1.105D+00 2.215D-01
 1.161D+00 1.943D-01
 1.257D+00 1.620D-01
 1.396D+00 1.283D-01
 1.542D+00 1.051D-01
 1.687D+00 8.963D-02
 1.968D+00 7.093D-02
 2.390D+00 5.610D-02
 2.975D+00 4.543D-02
 4.092D+00 3.401D-02
 5.544D+00 2.457D-02
 7.040D+00 1.897D-02
 8.134D+00 1.590D-02
 8.896D+00 1.233D-02
 9.538D+00 1.000D-02
 1.018D+01 8.237D-03
 1.080D+01 6.885D-03
 1.141D+01 5.842D-03
 1.261D+01 4.333D-03
 1.365D+01 3.413D-03
 1.456D+01 2.810D-03
 1.617D+01 2.053D-03
 1.708D+01 1.743D-03
 1.760D+01 1.645D-03

3d4(5D)4p_6Do                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.000D+00 1.754D-01
 1.161D+00 1.279D-01
 1.289D+00 1.061D-01
 1.438D+00 9.089D-02
 1.729D+00 7.452D-02
